Attraction,Category,Entrance Fee,Best Time,Duration,Highlights,Address,Google Maps,Transportation
Burnham Park,Park & Recreation,FREE,Morning or Late Afternoon,1-2 hours,"Boat rental, biking, rose garden, lake","Jose Abad Santos Drive, Baguio City",https://goo.gl/maps/BurnhamPark,Walking distance from Session Road
Baguio Night Market,Shopping & Food,FREE,9:00 PM - 2:00 AM,2-3 hours,"Ukay-ukay, street food, souvenirs, local crafts",Harrison Road near Burnham Park,https://goo.gl/maps/HarrisonRoad,Walking from Session Road or taxi
La Trinidad Strawberry Farm,Farm Experience,FREE (Picking: ₱500-700/kg),7:00 AM - 4:00 PM,1-2 hours,"Strawberry picking, fresh strawberries, photo ops","La Trinidad, Benguet (30 min from Baguio)",https://goo.gl/maps/LaTrinidadStrawberry,Jeepney ₱20 or Taxi ₱200+
BenCab Museum,Art & Culture,₱150 (₱120 students),9:00 AM - 6:00 PM,2-3 hours,"Philippine art, gardens, cafe, duck pond","Km 6 Asin Road, Tadiangan, Tuba",https://bencabmuseum.org,Taxi ₱100-130 from city center
Mines View Park,Viewpoint,₱10,Morning (less fog),1 hour,"Mountain views, souvenir shops, photo with ponies","Mines View, Baguio City",https://goo.gl/maps/MinesView,Jeepney ₱13 from city proper
Camp John Hay,Historical & Recreation,₱85 (Historical Core),Anytime,2-3 hours,"Bell House, pine forests, Tree Top Adventure","Camp John Hay, Baguio City",https://www.campjohnhay.com,Jeepney to Scout Barrio ₱13
Tam-awan Village,Cultural Village,₱60,9:00 AM - 6:00 PM,1-2 hours,"Traditional Cordillera houses, art exhibits","Long Long Benguet Road, Baguio",https://goo.gl/maps/Tamawan,Taxi ₱65 from city center
The Mansion,Historical Landmark,FREE (View from outside),Morning or Afternoon,30 minutes,"Presidential summer residence, gardens","Leonard Wood Road, Baguio City",https://goo.gl/maps/TheMansion,Jeepney ₱13
Wright Park,Park & Recreation,FREE (Horse rental extra),Morning,1 hour,"Horseback riding, pine trees, picnic area","Near The Mansion, Baguio City",https://goo.gl/maps/WrightPark,Walking distance from The Mansion
Baguio Cathedral,Religious Site,FREE,Morning,30 minutes,"Pink twin spires, beautiful architecture","Cathedral Loop, Baguio City",https://goo.gl/maps/BaguioCathedral,Walking distance from Session Road
Igorot Stone Kingdom,Cultural Park,₱100,8:00 AM - 5:00 PM,1-2 hours,"Stone towers, Igorot culture, photo spots","Long-Long St, Pinsao Proper, Baguio",https://goo.gl/maps/IgorotStone,Taxi ₱65 or Jeepney ₱22
Botanical Garden,Garden & Nature,₱100,Morning,1 hour,"Pine trees, Igorot houses, gardens","Leonard Wood Road, Baguio City",https://goo.gl/maps/BaguioBotanical,Jeepney ₱13
Mirador Heritage & Eco Park,Park & Spiritual,₱100,Morning or Afternoon,1-2 hours,"Lourdes Grotto, bamboo grove, heritage gardens","Mirador Jesuit Villa, Baguio",https://goo.gl/maps/Mirador,Taxi ₱110
Session Road,Shopping & Dining,FREE,Anytime,2-3 hours,"Main street, restaurants, shops, ukay-ukay","Session Road, Baguio City",https://goo.gl/maps/SessionRoad,"Central location, walking distance"
Baguio Public Market,Market & Shopping,FREE,Morning (8:00 AM - 12:00 PM),1-2 hours,"Pasalubong, fresh produce, strawberries, jams","Magsaysay Avenue, Baguio City",https://goo.gl/maps/BaguioMarket,Walking from Session Road
