Day,Time,Activity,Location,Duration,Cost per Person (₱),Cost for 2 (₱),Notes,Link
Day 1 (Thu Mar 19),4:00 AM,Depart home by car to Baguio,San Pedro / South Luzon to Baguio,6 hours,0,0,Leave early to arrive ~10 AM Baguio; include gas and tolls separately.,"https://www.google.com/maps/dir/San+Pedro,+Laguna/Baguio+City"
Day 1 (Thu Mar 19),10:00 AM,"Arrival in Baguio, park near Session Road & light walk","Session Road area, Baguio",1.5 hours,0,0,"Stretch legs, quick photo ops while waiting for early lunch.",https://goo.gl/maps/SessionRoad
Day 1 (Thu Mar 19),11:30 AM,Early lunch at Good Taste (budget restaurant),Good Taste Restaurant - Otek or Carino St,1 hour,220,440,Huge servings; rice meals / pancit 150–250 per person.,https://www.tripadvisor.com.ph/Restaurant_Review-g298445-d2033633
Day 1 (Thu Mar 19),12:45 PM,Check-in & rest at accommodation,Your Baguio hotel / Airbnb,2 hours,0,0,Target 2 PM check-in; power nap and shower before afternoon tour.,
Day 1 (Thu Mar 19),3:00 PM,Baguio Cathedral + Session Road walk,Baguio Cathedral & Session Road,1.5 hours,0,0,FREE. Park once and walk; nice intro views of the city.,https://goo.gl/maps/BaguioCathedral
Day 1 (Thu Mar 19),4:30 PM,Burnham Park stroll & optional boating,"Burnham Park, Baguio",1.5 hours,100,200,Entrance FREE. Budget for shared boat/bike rental and snacks.,https://goo.gl/maps/BurnhamPark
Day 1 (Thu Mar 19),6:30 PM,Dinner at Farmers Daughter (Cordilleran food),Farmers Daughter Restaurant (near Tam-awan),1 hour,300,600,Cordilleran dishes; 300–400 per person if sharing dishes.,https://ph.trip.com/guide/food/where-to-eat-in-baguio.html
Day 1 (Thu Mar 19),8:30 PM,Baguio Night Market – ukay-ukay & street food,Harrison Road Night Market,2.5 hours,500,1000,"Budget ~300 for ukay + 200 for street food per person (jackets, hoodies, etc.).",https://www.klook.com/en-PH/blog/ukay-spots-baguio/
Day 1 (Thu Mar 19),11:00 PM,"Return to accommodation, rest",Your Baguio hotel / Airbnb,-,0,0,Good sleep before full day tour next day.,
Day 2 (Fri Mar 20),7:30 AM,Breakfast at nearby cafe or carinderia,Near accommodation / Session Road,45 min,180,360,Budget 150–200 per person for silog / tapsilog style breakfast.,
Day 2 (Fri Mar 20),8:30 AM,Drive to La Trinidad Strawberry Farm,"La Trinidad Strawberry Farm, Benguet",30–40 min,0,0,Entrance FREE; pay only if you pick strawberries.,https://goo.gl/maps/LaTrinidadStrawberry
Day 2 (Fri Mar 20),9:15 AM,Strawberry picking & market pasalubong,La Trinidad Strawberry Farm,1.5 hours,400,800,Picking ~500–700/kg; budget 300–400 per person + snacks and fresh strawberry products.,https://philippinetravels.ph/baguio-strawberry-farm/
Day 2 (Fri Mar 20),11:00 AM,Drive to BenCab Museum,"BenCab Museum, Asin Road",30 min,0,0,Scenic drive via Asin Road.,https://bencabmuseum.org
Day 2 (Fri Mar 20),11:30 AM,Explore BenCab Museum,BenCab Museum,2 hours,350,700,Entrance ~150–200 + light snacks/coffee at Cafe Sabel.,https://in.trip.com/travel-guide/attraction/tuba/bencab-museum-38621600/
Day 2 (Fri Mar 20),1:30 PM,Lunch at Cafe Sabel (inside BenCab),"Cafe Sabel, BenCab Museum",1 hour,450,900,Budget 400–500 per person; order mains + drinks while enjoying the view.,https://bencabmuseum.org
Day 2 (Fri Mar 20),2:45 PM,"Drive back to city, visit Tam-awan Village","Tam-awan Village, Long Long Road",2 hours,150,300,Entrance ~60–100 + light snacks / coffee.,https://goo.gl/maps/Tamawan
Day 2 (Fri Mar 20),5:00 PM,Mines View Park and souvenir area,"Mines View Park, Baguio",1.5 hours,120,240,Entrance ~10–20 + 100 per person souvenir/ snacks budget.,https://goo.gl/maps/MinesView
Day 2 (Fri Mar 20),6:45 PM,Dinner at 50s Diner (budget comfort food),"50s Diner, Session Road area",1 hour,260,520,"Meals ~200–300 per person; burgers, pasta, shakes.",
Day 2 (Fri Mar 20),8:00 PM,Free time – cafe hopping or rest,Session Road cafes / accommodation,2 hours,200,400,Optional coffee and dessert; adjust spending based on budget.,https://www.tripadvisor.com.ph/Restaurants-g298445-zfp16-Baguio_Benguet_Province_Cordillera_Region_Luzon.html
Day 2 (Fri Mar 20),10:30 PM,"Return to accommodation, rest",Your Baguio hotel / Airbnb,-,0,0,Early rest before busy Saturday.,
Day 3 (Sat Mar 21),7:30 AM,Breakfast at local carinderia,Near accommodation,45 min,180,360,Silog or rice meals 150–200 per person.,
Day 3 (Sat Mar 21),8:30 AM,Botanical Garden visit,Baguio Botanical Garden,1.5 hours,150,300,Entrance ~100 + snacks/parking.,https://goo.gl/maps/BaguioBotanical
