Restaurant / Food Spot,Area,Cuisine / Type,Price Range per Person (₱),Best For,Specialty / Must Try,Location / Link,Destination,Latitude,Longitude
El Union Coffee,Urbiztondo,Coffee & Tea / Cafe,₱150-200,"Breakfast, Coffee, Snacks","Dirty Horchata (₱160), Cold Brew Latte (₱160). Specialty coffee in rustic setting.","The Great Northwest Travel Stop, Urbiztondo | https://www.instagram.com/elunion",La Union,16.6718,120.3627
Tagpuan Sa San Juan,Urbiztondo,Filipino / Budget Meals,₱60-150,"Breakfast, Lunch, Dinner","Bagnet Rice Bowl (₱120), Combo meal (₱60-80). Street-side affordable Filipino comfort food.","Manila North Road, Urbiztondo | https://www.instagram.com/tagpuansanjuan",La Union,16.6715,120.3625
Makai Bowls,Urbiztondo,Healthy Bowls / Smoothies,₱150-200,"Breakfast, Brunch, Snacks","Surfer's Bowl, Matcha Chia Bowl, smoothie bowls. 100% fruit, dairy-free, sugar-free. Open Mon-Tue, Thu-Sun 8AM-5PM.","MacArthur Highway, Great Northwest Travel Stop (2nd floor) | https://www.instagram.com/makaibowls",La Union,16.6718,120.3627
Gefseis Greek Grill,Urbiztondo,Greek / Mediterranean,₱200-350,"Lunch, Dinner","Authentic Greek food. Owner is Greek. Gyros, souvlaki, Greek salads. Popular among tourists.","MacArthur Highway, Urbiztondo | https://www.tripadvisor.com/gefseis",La Union,16.6722,120.3630
Kermit La Union,Urbiztondo,Italian-Filipino / Pizza,₱180-300,"Lunch, Dinner",Pizza with longganisa specialty. Italian-Filipino fusion. Casual beachfront dining.,"Urbiztondo, San Juan | https://www.instagram.com/kermitlaunion",La Union,16.6720,120.3628
Seawadeeka,Urbiztondo,Thai / Asian Street Food,₱100-200,"Lunch, Dinner","Pad Thai, Pork Satay, Vietnamese Spring Rolls. Everything under ₱200. Street food vibe.",Urbiztondo Beach Area | https://www.instagram.com/seawadeeka,La Union,16.6720,120.3628
Kabsat La Union,Urbiztondo,Bar / Filipino,₱150-300,"Dinner, Drinks",Buy 1 Get 1 cocktails. Local dishes and drinks. Beachfront bar atmosphere.,Urbiztondo Beach | https://www.facebook.com/kabsatlaunion,La Union,16.6720,120.3628
Clean Beach Cafe,Urbiztondo,Cafe / American,₱150-250,"Breakfast, Brunch, Lunch",Quiet beachfront cafe. Good view in morning. American-style breakfast and coffee.,Urbiztondo Beach | https://www.tripadvisor.com/clean-beach,La Union,16.6720,120.3628
Good Taste Restaurant,Session Road / Otek,Filipino-Chinese / Budget,₱80-150,"Lunch, Dinner","Famous for enormous servings at very low prices. Buttered chicken, pancit, rice meals. Student favorite.",Multiple branches in Baguio | https://www.tripadvisor.com/good-taste-baguio,Baguio,16.4132,120.5966
50's Diner,Gen. Luna Road,American / Filipino,₱120-180,"Breakfast, Lunch, Dinner","Pork Kebab (₱120), Shrimps (₱150), Gangsta Gangsta (₱155). Big meals, small budget. Classic diner design.","Gen. Luna Road, Baguio | https://justinvawter.com/budget-guide/baguio",Baguio,16.4120,120.5950
Grumpy Joe,Leonard Wood Road,American / Filipino,₱130-160,"Lunch, Dinner","Combo A: Chicken, Spaghetti, Fries, Pizza (₱140). Complete meals. Budget-friendly.","Leonard Wood Road, Baguio | https://justinvawter.com/budget-guide/baguio",Baguio,16.4100,120.5920
Hill Station,Session Road,Filipino / International,₱200-350,"Lunch, Dinner, Desserts","Famous Death by Chocolate cheesecake, mango cake. Filipino-international fusion. Colonial-era building ambiance.","Session Road, Baguio | https://www.tripadvisor.com/hill-station",Baguio,16.4130,120.5965
Bistro Lokal,Near Session Road,Filipino / Asian,₱150-250,"Breakfast, Lunch, Dinner",Must-try: Dinuguan and Sisig. Local Filipino specialties. Modern Filipino restaurant.,Baguio City | https://www.tripadvisor.com/bistro-lokal,Baguio,16.4140,120.5970
Valencia's Restaurant,Session Road area,Italian / Filipino,₱180-300,"Lunch, Dinner","Classic Spanish taste. Italian-Filipino cuisine. Pizza, pasta, Filipino favorites.","Session Road area, Baguio | https://www.tripadvisor.com/valencia-baguio",Baguio,16.4135,120.5968
Vizco's Restaurant,Session Road,Filipino / Desserts,₱150-250,"Lunch, Dinner, Desserts",Famous strawberry cake - moist and soft. Filipino comfort food. Popular dessert spot.,"Session Road, Baguio | https://www.tripadvisor.com/vizcos",Baguio,16.4132,120.5966
