Attraction,Category,Entrance Fee (₱),Best Time,Suggested Duration,Highlights,Address,Google Maps / Website,Transportation Notes,Destination,Latitude,Longitude
Burnham Park,Park & Recreation,FREE,Morning or Late Afternoon,1–2 hours,"Boat rental, biking, central park of Baguio","Jose Abad Santos Drive, Baguio City",https://goo.gl/maps/BurnhamPark,Walk or short drive from Session Road,Baguio,16.40954,120.594808
Baguio Night Market (Harrison Road),Shopping & Street Food,FREE,9:00 PM – 2:00 AM,2–3 hours,"Ukay-ukay, cheap clothes, street food stalls","Harrison Road, Baguio City",https://goo.gl/maps/HarrisonRoad,"Park near Burnham/Session, walk to night market",Baguio,16.4105,120.5965
La Trinidad Strawberry Farm,Farm Experience,FREE (Picking ~500–700/kg),7:00 AM – 11:00 AM,1–2 hours,"Strawberry picking, local products, photo spots","La Trinidad, Benguet",https://goo.gl/maps/LaTrinidadStrawberry,~30–40 min drive from Baguio by private car,Baguio,16.452056,120.582278
BenCab Museum,Art & Culture,₱150,Late Morning or Early Afternoon,2–3 hours,"National Artist BenCab’s works, gardens, Cafe Sabel","Km 6 Asin Road, Tuba, Benguet",https://bencabmuseum.org,~20–30 min drive from Baguio CBD via Asin Road,Baguio,16.3945,120.565
Tam-awan Village,Cultural Village,₱60,Morning or Afternoon,1–2 hours,"Traditional Cordillera houses, art exhibits, view decks","Long Long Benguet Road, Baguio",https://goo.gl/maps/Tamawan,~15–20 min drive from city center,Baguio,16.42917,120.57611
Mines View Park,Viewpoint,₱10,Morning (less fog),1–1.5 hours,"Panoramic mountain views, souvenir stalls, snacks","Mines View, Baguio City",https://goo.gl/maps/MinesView,~15–20 min drive from Session Road,Baguio,16.41969,120.62737
Botanical Garden,Garden & Nature,₱150,Morning,1–1.5 hours,"Landscaped gardens, pine trees, small cultural displays","Leonard Wood Road, Baguio City",https://goo.gl/maps/BaguioBotanical,Short drive from Session Road,Baguio,16.414562,120.613192
The Mansion & Wright Park,Historical Landmark & Park,FREE (horses extra),Morning or Afternoon,1–2 hours,"Presidential summer residence façade, horseback riding, pine-lined avenue","Leonard Wood Road, Baguio City",https://goo.gl/maps/TheMansion,Combine with Botanical Garden via short drive,Baguio,16.414,120.6175
Camp John Hay Historical Core,Historical & Recreation,₱85,Late Morning or Afternoon,2–3 hours,"Bell House, History Trail, pine forests, cafes","Camp John Hay, Baguio City",https://www.campjohnhay.com,~10–15 min drive from city center,Baguio,16.402333,120.596007
Baguio Public Market,Market & Pasalubong,FREE,8:00 AM – 12:00 PM,1–2 hours,"Strawberry jam, coffee, ube, walis, vegetables","Magsaysay Avenue, Baguio City",https://goo.gl/maps/BaguioMarket,Park nearby; expect tight city traffic,Baguio,16.4167,120.595
Mirador Heritage & Eco Park,Viewpoint & Spiritual Park,₱100,Late Afternoon for sunset,1.5–2 hours,"Bamboo grove, Lourdes Grotto, city and sunset views","Mirador Jesuit Villa, Baguio",https://goo.gl/maps/Mirador,Steep access roads; best with private car,Baguio,16.41,120.585
Urbiztondo Beach (San Juan),Beach & Surfing,FREE (surf rental extra),Morning & Late Afternoon,Half to full day,"Main surf beach, long shoreline, bars and cafes","MacArthur Highway, Urbiztondo, San Juan, La Union",https://goo.gl/maps/UrbiztondoBeach,Park along MacArthur Highway or at accommodation,La Union (Elyu),16.65917,120.32094
San Juan Surf Area / Surf Schools,Water Activity,~₱600–700 per hour,Morning (8–11 AM) or Late Afternoon,1–2 hours,Beginner surf lessons with instructor and board,"Urbiztondo, San Juan, La Union",https://www.tripadvisor.com.ph/Attraction_Review-g656268-d8613616,Walkable from most Urbiztondo stays,La Union (Elyu),16.65917,120.32094
The Great Northwest Philippines Travel Stop,Food & View Deck,FREE,Daytime to Sunset,1–2 hours,Cluster of cafes like El Union Coffee and Makai Bowls with sea view,"MacArthur Highway, Urbiztondo, San Juan, La Union",https://elunioncoffee.com/pages/cafe,Park in compound; short walk to beach,La Union (Elyu),16.65917,120.32094
Tangadan Falls,Waterfalls & Nature,₱30 + guide ₱500 (group),Morning,4–6 hours incl. travel,"Two-tier falls, cliff jumps, cold river swim near San Gabriel","Brgy. Amontoc, San Gabriel, La Union",https://thequeensescape.com/la-unions-tangadan-falls-diy-travel-guide-2023/,~45–60 min drive from San Juan then short trek; best done with plenty of time,La Union (Elyu),16.64353,120.44896
